player,wins,win_pct,avg_set_diff,avg_point_diff,matches_played,unique_opponents,avg_opponent_win_pct,cluster,distance_to_centroid,cluster_description
Mikhailovskiy Y.,19,0.6333333333333333,0.3333333333333333,3.3333333333333335,30,10,0.46879365079365076,1,0.6847141955432094,Stronger performance
Mikus D.,9,0.6428571428571429,0.5,4.428571428571429,14,10,0.4578589956722319,1,0.9562248389324904,Stronger performance
Minenko A.,15,0.625,0.625,4.291666666666667,24,10,0.47659850230414746,1,0.4895860041493727,Stronger performance
Motrunych I.,13,0.65,0.6,2.7,20,8,0.4614472194472195,1,0.6168474084279352,Stronger performance
Moulis P.,12,0.75,1.0,5.9375,16,8,0.3361055107526882,1,4.423793408610804,Stronger performance
Mul S.,24,0.8888888888888888,1.8518518518518519,9.37037037037037,27,9,0.5358460271207546,1,3.5589417803895693,Stronger performance
Mykhailovsky K.,31,0.775,1.225,4.3,40,13,0.45904761904761904,1,1.9830669126743101,Stronger performance
Ni I.,15,0.6521739130434783,1.0869565217391304,6.3478260869565215,23,9,0.5656558441667497,1,2.836766138374499,Stronger performance
Nikolenko A.,23,0.6571428571428571,0.7142857142857143,2.914285714285714,35,10,0.5119554013963952,1,1.186381308525692,Stronger performance
Nizioc I.,16,0.5161290322580645,0.06451612903225806,0.8387096774193549,31,8,0.46926605634293705,1,1.425132006339168,Stronger performance
Novikov V.,13,0.65,0.95,5.25,20,17,0.4561738609793194,1,2.3532757090435807,Stronger performance
